iter	Passed	Remaining
0	214	214196
1	234	117036
2	241	80414
3	245	61210
4	252	50272
5	255	42387
6	259	36789
7	266	33085
8	270	29837
9	278	27541
10	281	25338
11	289	23822
12	292	22236
13	296	20887
14	338	22244
15	342	21064
16	346	20027
17	349	19087
18	360	18605
19	363	17797
20	366	17095
21	369	16415
22	373	15857
23	376	15296
24	386	15080
25	390	14627
26	394	14202
27	400	13907
28	406	13602
29	410	13282
30	428	13389
31	436	13209
32	447	13116
33	451	12832
34	458	12645
35	468	12555
36	472	12294
37	479	12131
38	483	11913
39	491	11786
40	493	11540
41	506	11546
42	509	11348
43	512	11128
44	515	10948
45	534	11079
46	541	10974
47	549	10897
48	556	10808
49	564	10727
50	568	10573
51	572	10429
52	575	10290
53	586	10270
54	592	10176
55	622	10485
56	625	10353
57	637	10359
58	643	10267
59	649	10181
60	653	10066
61	658	9955
62	662	9847
63	666	9743
64	670	9639
65	674	9543
66	678	9442
67	682	9353
68	686	9261
69	690	9175
70	700	9169
71	704	9079
72	708	8996
73	712	8911
74	716	8831
75	719	8751
76	723	8673
77	742	8781
78	746	8706
79	749	8617
80	752	8542
81	758	8492
82	766	8469
83	773	8431
84	777	8369
85	783	8331
86	787	8268
87	790	8197
88	794	8136
89	803	8128
90	807	8069
91	815	8045
92	819	7990
93	823	7933
94	826	7874
95	830	7817
96	847	7892
97	851	7837
98	855	7784
99	858	7729
100	862	7675
101	866	7626
102	870	7577
103	873	7528
104	881	7511
105	885	7464
106	888	7418
107	892	7374
108	896	7327
109	900	7283
110	903	7238
111	910	7221
112	913	7167
113	916	7124
114	920	7081
115	924	7042
116	939	7091
117	946	7075
118	950	7036
119	953	6994
120	959	6973
121	975	7017
122	980	6988
123	984	6955
124	987	6914
125	993	6889
126	997	6857
127	1010	6883
128	1015	6858
129	1021	6833
130	1028	6822
131	1041	6846
132	1044	6810
133	1048	6775
134	1051	6740
135	1055	6707
136	1059	6673
137	1062	6637
138	1066	6604
139	1069	6572
140	1074	6543
141	1081	6532
142	1083	6493
143	1087	6461
144	1090	6431
145	1097	6420
146	1101	6391
147	1104	6359
148	1111	6351
149	1116	6329
150	1122	6313
151	1127	6292
152	1142	6326
153	1150	6322
154	1155	6296
155	1162	6288
156	1166	6262
157	1169	6234
158	1172	6200
159	1175	6172
160	1187	6187
161	1194	6178
162	1198	6154
163	1202	6131
164	1209	6123
165	1213	6099
166	1217	6073
167	1221	6047
168	1224	6020
169	1228	5995
170	1232	5973
171	1235	5949
172	1239	5926
173	1243	5902
174	1286	6066
175	1292	6052
176	1299	6042
177	1325	6121
178	1329	6098
179	1333	6074
180	1342	6076
181	1347	6054
182	1366	6102
183	1370	6079
184	1389	6119
185	1393	6096
186	1397	6074
187	1408	6082
188	1412	6060
189	1416	6038
190	1420	6018
191	1426	6002
192	1430	5980
193	1438	5976
194	1442	5953
195	1445	5931
196	1449	5909
197	1453	5889
198	1461	5883
199	1465	5862
200	1472	5855
201	1478	5838
202	1483	5824
203	1488	5808
204	1496	5804
205	1500	5785
206	1512	5796
207	1516	5775
208	1523	5765
209	1530	5757
210	1534	5737
211	1537	5716
212	1541	5696
213	1549	5691
214	1553	5672
215	1556	5647
216	1559	5627
217	1563	5608
218	1567	5590
219	1571	5571
220	1584	5585
221	1588	5566
222	1592	5547
223	1605	5562
224	1609	5543
225	1613	5525
226	1616	5505
227	1620	5486
228	1624	5469
229	1628	5450
230	1631	5432
231	1635	5413
232	1639	5395
233	1642	5377
234	1660	5406
235	1672	5415
236	1683	5418
237	1692	5417
238	1707	5437
239	1722	5454
240	1735	5464
241	1750	5483
242	1767	5506
243	1778	5509
244	1782	5492
245	1786	5474
246	1789	5456
247	1803	5468
248	1811	5464
249	1818	5455
250	1829	5459
251	1833	5443
252	1845	5448
253	1851	5438
254	1859	5432
255	1863	5416
256	1867	5399
257	1871	5383
258	1875	5365
259	1882	5357
260	1886	5341
261	1890	5326
262	1894	5309
263	1898	5293
264	1902	5277
265	1907	5262
266	1910	5246
267	1914	5229
268	1918	5212
269	1938	5242
270	1942	5226
271	1950	5219
272	1965	5234
273	1967	5213
274	1971	5197
275	1979	5191
276	1990	5194
277	2009	5218
278	2016	5211
279	2035	5233
280	2046	5237
281	2055	5233
282	2060	5219
283	2064	5205
284	2069	5192
285	2073	5176
286	2080	5169
287	2084	5154
288	2089	5139
289	2096	5133
290	2104	5127
291	2108	5112
292	2123	5123
293	2127	5109
294	2129	5089
295	2133	5074
296	2137	5059
297	2141	5045
298	2144	5028
299	2148	5013
300	2152	4998
301	2156	4984
302	2160	4968
303	2167	4961
304	2171	4947
305	2182	4950
306	2190	4944
307	2194	4931
308	2221	4967
309	2226	4955
310	2236	4953
311	2255	4973
312	2273	4989
313	2280	4982
314	2297	4995
315	2301	4981
316	2305	4967
317	2309	4953
318	2313	4939
319	2317	4925
320	2325	4919
321	2329	4905
322	2333	4891
323	2337	4877
324	2341	4862
325	2345	4848
326	2352	4841
327	2359	4835
328	2365	4824
329	2369	4810
330	2373	4796
331	2377	4783
332	2381	4769
333	2384	4755
334	2388	4741
335	2392	4728
336	2399	4719
337	2406	4712
338	2421	4721
339	2425	4708
340	2433	4703
341	2451	4717
342	2456	4706
343	2461	4693
344	2465	4681
345	2470	4669
346	2474	4657
347	2479	4645
348	2485	4636
349	2491	4627
350	2498	4618
351	2506	4614
352	2514	4609
353	2518	4596
354	2522	4582
355	2524	4566
356	2528	4553
357	2531	4540
358	2535	4526
359	2537	4510
360	2540	4496
361	2543	4483
362	2547	4470
363	2551	4458
364	2554	4444
365	2562	4438
366	2588	4465
367	2637	4529
368	2644	4522
369	2648	4509
370	2652	4496
371	2655	4482
372	2659	4470
373	2663	4457
374	2667	4446
375	2678	4444
376	2682	4432
377	2686	4420
378	2690	4407
379	2704	4412
380	2708	4401
381	2712	4388
382	2716	4376
383	2735	4388
384	2739	4376
385	2744	4364
386	2747	4352
387	2755	4345
388	2759	4333
389	2761	4318
390	2765	4306
391	2768	4294
392	2773	4283
393	2776	4270
394	2780	4259
395	2787	4251
396	2791	4240
397	2796	4229
398	2800	4217
399	2808	4212
400	2812	4200
401	2836	4218
402	2840	4207
403	2844	4196
404	2847	4184
405	2855	4178
406	2859	4166
407	2862	4152
408	2865	4141
409	2870	4130
410	2877	4123
411	2884	4116
412	2892	4110
413	2907	4115
414	2911	4104
415	2915	4092
416	2919	4081
417	2923	4070
418	2927	4058
419	2934	4052
420	2938	4041
421	2943	4030
422	2950	4024
423	2957	4018
424	2963	4010
425	2973	4006
426	2977	3995
427	2981	3984
428	2985	3973
429	2992	3966
430	2996	3955
