iter	Logloss
0	0.6823072611
1	0.6721995681
2	0.6630004835
3	0.6532197287
4	0.6428141714
5	0.6325348223
6	0.6236544848
7	0.6150019199
8	0.6065730436
9	0.5982818852
10	0.5901797097
11	0.5829251436
12	0.5758471515
13	0.5689458081
14	0.5615942997
15	0.5534397502
16	0.5461470614
17	0.5386294403
18	0.5326093376
19	0.5264535003
20	0.5198584359
21	0.5142925897
22	0.5084037312
23	0.5022342976
24	0.4970928909
25	0.490863988
26	0.4850372169
27	0.479451897
28	0.4741772251
29	0.4696993446
30	0.4641855479
31	0.4594488201
32	0.4553188765
33	0.4512861237
34	0.4469727455
35	0.4427901088
36	0.4387950101
37	0.4347673507
38	0.4312304124
39	0.4271766961
40	0.4232174932
41	0.419706374
42	0.4159690806
43	0.4124553333
44	0.409444255
45	0.406507212
46	0.401882865
47	0.3976592905
48	0.3937051185
49	0.3899161317
50	0.3858929914
51	0.3818815709
52	0.3779966923
53	0.3744538149
54	0.3705866108
55	0.3671744728
56	0.3635090569
57	0.3599994913
58	0.3565197683
59	0.353113033
60	0.3498171629
61	0.3468856419
62	0.3436400175
63	0.3409177154
64	0.3380654962
65	0.3355189306
66	0.3331294724
67	0.3306560095
68	0.3282402167
69	0.3258696277
70	0.3235769088
71	0.3214092865
72	0.3191666149
73	0.3170204756
74	0.31498403
75	0.3130356889
76	0.3107312616
77	0.3089585274
78	0.3071315902
79	0.3051588209
80	0.3034553886
81	0.3014768454
82	0.2998020334
83	0.2982059123
84	0.2963540362
85	0.2943908632
86	0.2934789021
87	0.2915429054
88	0.2898568546
89	0.2881459833
90	0.2865219063
91	0.285157095
92	0.2836356191
93	0.2821494243
94	0.2809463916
95	0.2797347844
96	0.2785802697
97	0.2773015114
98	0.2761356916
99	0.2751251212
100	0.2738370108
101	0.2727428782
102	0.2716992205
103	0.2707368335
104	0.2697351601
105	0.2686653352
106	0.26781849
107	0.2669855191
108	0.2660724122
109	0.2652288672
110	0.2641265323
111	0.2632094742
112	0.2621102709
113	0.2613950786
114	0.2605454288
115	0.2596064748
116	0.2587944228
117	0.2579939679
118	0.2572543037
119	0.2564520084
120	0.2555961611
121	0.2547261397
122	0.2540121044
123	0.2532072588
124	0.2525770914
125	0.251987141
126	0.2514281043
127	0.250909275
128	0.250055617
129	0.2493670756
130	0.2486200985
131	0.2480279075
132	0.2474172321
133	0.2467612703
134	0.2461527054
135	0.2455296692
136	0.2451298182
137	0.244738918
138	0.2441775006
139	0.2437154735
140	0.2431670228
141	0.2426026587
142	0.2420747899
143	0.2415925524
144	0.2410725836
145	0.2405099325
146	0.2401260004
147	0.2396454528
148	0.2392036902
149	0.2387797434
150	0.2384172028
151	0.238139649
152	0.2377809478
153	0.2372838843
154	0.2368794548
155	0.2365417148
156	0.2361609428
157	0.2357752982
158	0.2354252742
159	0.2350075051
160	0.2346256397
161	0.2342347763
162	0.2338767049
163	0.2335090969
164	0.233274545
165	0.2329625503
166	0.2326569002
167	0.2323794848
168	0.2320438893
169	0.2318656298
170	0.2316119281
171	0.2313783897
172	0.2310718859
173	0.2307757681
174	0.2304636845
175	0.230126314
176	0.229784984
177	0.2294326328
178	0.2290789725
179	0.2286973194
180	0.2283641928
181	0.2280717678
182	0.2277122673
183	0.2274068006
184	0.2271341813
185	0.2270555571
186	0.2267833024
187	0.2264767248
188	0.2262213058
189	0.2259268202
190	0.2256376788
191	0.2253485743
192	0.2250565827
193	0.2248202126
194	0.2245537057
195	0.2242435258
196	0.2240048022
197	0.2237656552
198	0.2235126436
199	0.2232758711
200	0.2230110845
201	0.2228006584
202	0.2225981394
203	0.2224129041
204	0.2221705654
205	0.221965053
206	0.2217275251
207	0.2215741417
208	0.2213716347
209	0.2212290723
210	0.2211479363
211	0.2209101948
212	0.2207176135
213	0.2205594039
214	0.2204195961
215	0.2201781369
216	0.2199502774
217	0.2197664844
218	0.2195686635
219	0.2193768185
220	0.2191904247
221	0.2190256917
222	0.2188562041
223	0.2187523416
224	0.2186421213
225	0.2185086174
226	0.218293297
227	0.2180808471
228	0.2179365479
229	0.2177108954
230	0.2175751987
231	0.2174688986
232	0.2173369728
233	0.2172821218
234	0.2170756693
235	0.2169226034
236	0.216784405
237	0.2167091072
238	0.2165168156
239	0.2163584478
240	0.2162259473
241	0.2161019462
242	0.2160105756
243	0.215931914
244	0.215833616
245	0.2157247137
246	0.2155837674
247	0.2154302722
248	0.2153127043
249	0.2152272643
250	0.2150920205
251	0.2149345729
252	0.2148125309
253	0.2146896333
254	0.2145617095
255	0.2144523301
256	0.214354174
257	0.2140961327
258	0.2140132956
259	0.2139160513
260	0.2138366642
261	0.2136942522
262	0.2135508931
263	0.2134887784
264	0.2133886713
265	0.213303112
266	0.2131416555
267	0.2130966085
268	0.2129907772
269	0.2129263592
270	0.2128603152
271	0.2127832586
272	0.2126991953
273	0.212612523
274	0.2124981064
275	0.2124431585
276	0.2121164596
277	0.2120367392
278	0.2119318561
279	0.211876618
280	0.2116760933
281	0.2116042617
282	0.2115347378
283	0.2113728669
284	0.2112499455
285	0.2111243633
286	0.2110102369
287	0.2109434432
288	0.2108796772
289	0.2108388202
290	0.2107510688
291	0.2106951524
292	0.2106276713
293	0.2105802205
294	0.2105065733
295	0.2104130904
296	0.2103376549
297	0.210288881
298	0.2102124882
299	0.2101581711
300	0.2100788323
301	0.2100135011
302	0.2100086384
303	0.2098599358
304	0.2097779001
305	0.2097363401
306	0.2096664677
307	0.2095973644
308	0.2095379606
309	0.2094943034
310	0.2094288269
311	0.2093326577
312	0.2092623569
313	0.2092226666
314	0.2091637231
315	0.2090738813
316	0.2090092236
317	0.2089356295
318	0.2088806111
319	0.2088396892
320	0.2087998525
321	0.2086299009
322	0.2085789571
323	0.2085034073
324	0.2084573241
325	0.2084083848
326	0.2083854304
327	0.2083415733
328	0.2082616647
329	0.2082107936
330	0.2081640503
331	0.2080791926
332	0.2080603825
333	0.2079736087
334	0.2078369612
335	0.2077975671
336	0.2077064042
337	0.2076680251
338	0.2076179968
