iter	Passed	Remaining
0	91	137778
1	153	115047
2	161	80763
3	188	70621
4	213	63899
5	237	59018
6	261	55762
7	272	50770
8	281	46617
9	325	48521
10	335	45419
11	341	42372
12	348	39870
13	355	37751
14	366	36260
15	375	34871
16	386	33734
17	396	32618
18	402	31335
19	422	31242
20	432	30455
21	438	29436
22	447	28736
23	464	28574
24	471	27831
25	497	28206
26	540	29463
27	549	28898
28	559	28369
29	568	27841
30	577	27387
31	585	26853
32	591	26297
33	601	25955
34	615	25743
35	624	25393
36	632	24990
37	647	24894
38	654	24512
39	680	24831
40	690	24564
41	707	24545
42	718	24332
43	750	24830
44	756	24458
45	762	24090
46	783	24235
47	799	24181
48	826	24480
49	844	24492
50	870	24745
51	882	24570
52	898	24519
53	929	24898
54	949	24948
55	967	24941
56	983	24894
57	1012	25165
58	1025	25057
59	1059	25420
60	1087	25659
61	1110	25748
62	1135	25889
63	1145	25691
64	1156	25522
65	1167	25361
66	1173	25106
67	1184	24942
68	1196	24814
69	1209	24704
70	1222	24595
71	1242	24635
72	1253	24512
73	1270	24481
74	1279	24313
75	1287	24131
76	1301	24044
77	1307	23838
78	1330	23928
79	1338	23751
80	1347	23614
81	1359	23508
82	1369	23382
83	1417	23887
84	1439	23967
85	1457	23970
86	1465	23809
87	1481	23778
88	1497	23737
89	1520	23826
90	1535	23782
91	1565	23959
92	1586	24006
93	1601	23951
94	1610	23825
95	1624	23763
96	1640	23724
97	1650	23617
98	1692	23957
99	1701	23819
100	1718	23810
101	1735	23789
102	1749	23729
103	1771	23783
104	1785	23724
105	1804	23733
106	1816	23644
107	1823	23498
108	1841	23497
109	1851	23399
110	1878	23507
111	1892	23452
112	1918	23542
113	1928	23447
114	1947	23454
115	1960	23392
116	1973	23327
117	1987	23280
118	2006	23285
119	2024	23282
120	2038	23232
121	2062	23291
122	2078	23271
123	2090	23201
124	2104	23148
125	2116	23083
126	2128	23008
127	2140	22947
128	2157	22931
129	2172	22892
130	2183	22821
131	2198	22785
132	2210	22717
133	2260	23047
134	2271	22963
135	2288	22951
136	2298	22867
137	2305	22751
138	2319	22707
139	2335	22683
140	2346	22620
141	2360	22576
142	2375	22541
143	2406	22656
144	2418	22597
145	2429	22533
146	2448	22534
147	2459	22470
148	2471	22406
149	2493	22442
150	2504	22377
151	2511	22277
152	2556	22506
153	2573	22493
154	2590	22479
155	2600	22407
156	2612	22345
157	2621	22268
158	2632	22199
159	2643	22138
160	2654	22078
161	2671	22064
162	2685	22027
163	2697	21975
164	2706	21898
165	2720	21861
166	2734	21823
167	2758	21868
168	2773	21840
169	2780	21755
170	2792	21699
171	2803	21642
172	2840	21790
173	2855	21762
174	2903	21983
175	2913	21919
176	2924	21855
177	2940	21837
178	2951	21778
179	2961	21717
180	2971	21656
181	2983	21607
182	3003	21614
183	3017	21580
184	3033	21561
185	3043	21498
186	3059	21478
187	3082	21510
188	3099	21502
189	3114	21476
190	3129	21445
191	3139	21388
192	3150	21333
193	3159	21270
194	3170	21215
195	3180	21161
196	3191	21110
197	3207	21093
198	3220	21052
199	3230	21000
200	3241	20945
201	3251	20896
202	3289	21018
203	3299	20963
204	3316	20948
205	3326	20893
206	3336	20843
207	3347	20791
208	3357	20738
209	3367	20685
210	3373	20608
211	3387	20582
212	3402	20556
213	3414	20517
214	3425	20474
215	3437	20433
216	3448	20388
217	3459	20344
218	3472	20313
219	3483	20269
220	3495	20228
221	3506	20188
222	3518	20147
223	3528	20100
224	3545	20090
225	3556	20048
226	3568	20011
227	3586	20008
228	3604	20003
229	3614	19956
230	3632	19955
